,Nodes,Edges,Density,Avg_Clustering,Avg_Connectivity,Components,Exponent_Centrality,Exponent_Weight,Diameter,Radius,Avg_Shortest_Path,Frac_LCC
1987,653,6483,0.030454062890481873,0.8316275440187747,19.856049004594173,6,2.097492695553003,2.347588901084424,11,6,5.044532326074648,0.7457886676875957
1988,636,6456,0.031971475263705244,0.8275674212531707,20.301886792452812,4,2.0735419256316927,2.391771218859583,14,7,5.873165700167314,0.9088050314465409
1989,651,6701,0.03167198393004845,0.8240961386387363,20.586789554531496,6,2.0701935985903512,3.1738003343188104,15,8,5.620679757779412,0.8218125960061444
1990,650,6774,0.03211568092924025,0.8249566116621516,20.843076923076936,1,2.0386820454679664,2.2687801924590287,13,7,5.442427403105369,1.0
1991,661,6735,0.03087608306972906,0.8408558188131336,20.378214826021186,10,2.070547780206919,2.398966532536785,11,6,4.279825176711811,0.6520423600605144
1992,677,6958,0.030407383776319123,0.840881203403555,20.555391432791772,5,2.0671039868671794,2.2739362821679094,14,7,6.009728433469441,0.8212703101920237
1993,715,7223,0.028297193003075358,0.8370206886161581,20.20419580419587,7,2.070569364797694,2.257046439072921,8,4,3.5844441726794667,0.3104895104895105
1994,632,5725,0.028711709362274067,0.858161198976826,18.117088607594827,16,2.200306685753697,2.236882251485321,10,5,4.575499087126994,0.4098101265822785
1995,691,7195,0.03018100211833302,0.821261597291953,20.82489146164976,1,2.0482859034882965,2.3538887374498056,11,6,5.073302711885736,1.0
1996,715,7640,0.029930853460265226,0.8107091188130778,21.37062937062944,5,2.0245744343934096,2.384452873834088,9,5,4.043911518212379,0.8657342657342657
1997,785,8248,0.02680358767710906,0.8021538538195742,21.014012738853513,2,1.9900000655034735,2.4359948645188423,10,6,4.754524215223005,0.9617834394904459
1998,823,8593,0.025404061456956777,0.7964756054472982,20.882138517618483,2,2.0746208461785045,2.292589530934348,11,6,4.572758554709678,0.9708383961117861
1999,822,8296,0.024585767164249876,0.8250660574739028,20.184914841849377,5,2.113474655275467,2.315205314319888,10,5,4.955287870254365,0.8795620437956204
2000,831,8944,0.025934786075710786,0.7912613768324545,21.525872442839912,1,2.047852396690736,2.369342825086811,8,5,4.085813289258115,1.0
2001,831,8620,0.02499528801125078,0.7973231066054888,20.746089049338128,2,2.0768005716844646,2.397391097524868,11,6,4.871296748979924,0.9711191335740073
2002,824,8446,0.02490886998784933,0.810902743815598,20.50000000000003,3,2.0556434902166396,2.3429701045568656,11,7,5.320500930760804,0.9368932038834952
2003,838,8565,0.024422374487814476,0.8099408889527618,20.441527446300768,3,2.031895523939104,2.347099777365681,12,6,5.105553634414552,0.9081145584725537
2004,841,8579,0.024287979163127797,0.8064991943040069,20.401902497027436,3,2.095397352296156,2.3684646750465053,17,9,5.665803532752563,0.93935790725327
2005,815,8196,0.024708702009315506,0.8164957363145606,20.112883435582795,5,2.116249027771887,2.342855674874195,10,6,4.801196082650028,0.8699386503067484
2006,818,8586,0.025694816446358404,0.7914451266469306,20.992665036674786,1,2.0184638136546478,2.210159241337803,9,5,4.203996372918993,1.0
2007,834,8576,0.024689012295565707,0.8009366188434736,20.565947242206192,2,2.0256766698464306,2.3972341037917597,10,6,4.580237757328816,0.9712230215827338
2008,849,8676,0.02410160677378492,0.8127278390178768,20.438162544169604,3,2.1003365281357844,2.383738092578466,13,7,5.161240536883297,0.8716136631330977
2009,818,8553,0.025596059290205385,0.8014483827604917,20.911980440097754,2,2.0295100044638525,2.3601697426344534,11,6,4.426579438070857,0.9731051344743277
2010,829,8776,0.025570648531785575,0.8022119379656104,21.172496984318478,1,2.066263490701215,2.4818440173617655,11,6,4.7731537327436,1.0
2011,842,8915,0.025179277017237142,0.8135625081255653,21.175771971496424,2,2.002629507448398,2.534168423897182,13,7,5.10246000240587,0.9691211401425178
2012,848,9152,0.0254839500122519,0.8026247335094171,21.584905660377387,2,2.0532754897591774,2.3666099609031788,10,6,4.438338504760973,0.9693396226415094
2013,850,8958,0.024826439409686134,0.8027900636988778,21.077647058823654,3,1.9882994411431765,2.3970118160882423,11,6,4.594982440433031,0.9376470588235294
